qid,text,dataset,Emotional,Environmental,Financial,Intellectual,Occupational,Physical,Social,Spiritual
PWS_31,Things will not work out the way I want them to in the future.,PWS,0.118723884,0.0686423,0.21583986,0.11858567,0.10100122,0.052044548,0.11992415,0.07054415
PWS_32,"In the past, I have felt sure of myself among strangers.",PWS,0.24581015,0.17386004,0.03089559,0.13495834,0.1971189,0.093726605,0.3467204,0.28952652
PWS_33,My friends will be there for me when I need help.,PWS,0.099984586,0.06932752,0.08843817,0.07839803,0.034036845,0.06768185,0.22060263,0.10066433
PWS_34,I expect my physical health to get worse.,PWS,0.14840214,0.13617845,0.06620164,0.070246935,0.10845524,0.47305804,0.06955215,0.13279605
PWS_35,It seems that my life has always had purpose.,PWS,0.24602763,0.26502416,0.20123358,0.2698274,0.36424732,0.15303616,0.27132785,0.30528548
PWS_36,My life has often seemed void of positive mental stimulation.,PWS,0.2768106,0.17928484,0.09073086,0.25541392,0.2799235,0.18368402,0.23296101,0.3140147
PWS_4,My physical health has restricted me in the past.,PWS,0.14206731,0.081231624,0.09752764,0.056443937,0.04983697,0.42797694,0.010785575,0.051356394
PWS_5,I believe there is a real purpose for my life.,PWS,0.23368068,0.27050442,0.21040821,0.27572218,0.30615073,0.21327993,0.28217903,0.3691699
PWS_6,I will always seek out activities that challenge me to think and reason.,PWS,0.3087933,0.29016164,0.1524938,0.40093046,0.31020927,0.187755,0.20961232,0.3646862
PWS_7,I rarely count on good things happening to me.,PWS,0.20967405,0.15308528,0.07696493,0.09026416,0.16129419,0.07409258,0.16269924,0.15196833
PWS_8,"In general, I feel confident about my abilities.",PWS,0.30532557,0.1293497,0.10522838,0.31012577,0.25918657,0.271705,0.2638104,0.25008315
PWS_9,Sometimes I wonder if my family will really be there for me when I am in need.,PWS,0.19475432,0.13441649,0.15239607,0.05753991,0.19164185,0.08450631,0.21048911,0.21594806
UCLA_1,I am unhappy doing so many things alone,UCLA,0.23258176,0.111913785,0.16953874,0.14049236,0.26325488,0.15956958,0.15262385,0.055691432
UCLA_10,I feel left out,UCLA,0.20714524,0.16465558,0.033489726,0.19019952,0.144764,0.1722435,0.17197758,0.18591979
UCLA_11,I feel completely alone,UCLA,0.23209052,0.11326752,0.04881555,0.10902901,0.14328952,0.09912209,0.19993615,0.17693667
UCLA_12,I am unable to reach out and communicate with those around me,UCLA,0.14955494,0.0920869,0.046257414,0.09742504,0.033813305,0.02096219,0.21548195,0.15556706
UCLA_13,My social relationships are superficial,UCLA,0.09419523,0.13835417,0.101314545,0.09013338,0.07757361,0.058843948,0.48115188,0.071648456
UCLA_14,I feel starved for company,UCLA,0.09254451,-0.039397363,0.19255045,0.07004253,0.17691001,-0.017376345,0.06271209,-0.0007674627
UCLA_15,No one really knows me well,UCLA,0.06355849,0.0026953262,-0.0032472224,0.13698322,0.055107195,0.03222719,0.15196033,0.102211334
UCLA_16,I feel isolated from others,UCLA,0.3242008,0.21831326,0.11088536,0.19608298,0.19608194,0.033960037,0.3914425,0.2045954
UCLA_17,I am unhappy being so withdrawn,UCLA,0.20009251,0.012528069,0.07998014,0.09270046,0.13336805,-0.0014801336,0.08786921,0.0043445015
UCLA_18,It is difficult for me to make friends,UCLA,0.12437008,0.0490847,0.0912076,0.09271723,0.01857807,-0.050329097,0.37079126,0.029510546
UCLA_19,I feel shut out and excluded by others,UCLA,0.20502429,0.16879937,0.042923264,0.13678184,0.1147659,0.020121422,0.30231246,0.13749401
UCLA_2,I have nobody to talk to,UCLA,-0.0128214955,0.033274136,-0.03177299,-0.02033915,-0.052245088,-0.04902397,0.12960151,-0.014842977
UCLA_20,People are around me but not with me,UCLA,0.058746897,0.14062202,0.022458952,0.039316244,0.073657826,0.0014790349,0.2716865,0.09723855
UCLA_3,I cannot tolerate being so alone,UCLA,0.21525519,0.1709192,0.03325205,0.096985474,0.10912396,0.07768027,0.25115967,0.07381861
UCLA_4,I lack companionship,UCLA,0.18458474,0.17835928,0.114331305,0.14642045,0.16482702,0.10445019,0.3696261,0.13885666
UCLA_5,I feel as if nobody really understands me,UCLA,0.26028123,0.06229174,0.01919808,0.2227442,0.13833016,0.064336956,0.21168537,0.24302427
UCLA_6,I find myself waiting for people to call or write,UCLA,0.10980439,0.116599284,0.08352007,0.1591838,0.11783562,0.047420807,0.23231788,0.12599382
UCLA_7,There is no one I can turn to,UCLA,0.034572862,0.03420316,0.022976158,0.010368433,-0.013437673,0.011000951,0.044923984,0.093906
UCLA_8,I am no longer close to anyone,UCLA,0.15297118,0.17992355,0.012813816,0.11604731,0.07235529,-0.008515435,0.28123984,0.16117547
UCLA_9,My interests and ideas are not shared by those around me,UCLA,0.13212518,0.12097709,0.16026878,0.34562895,0.20520957,-0.008342889,0.26267943,0.16586474
